sampleNames;sample;Year;site;enrichment;enrichment;days;Period;folder;Info4;Expname;Experimentator;Csource;CsourceBeta;biomass.enriched;filter.fraction;oxygen;thiosulfate;ammonium;nitrite;nitrate;methylamine;cellulose;starch;veratric.acid;soil.seepage;necromass;R2A;leaf.leachate;16S.gene.copies.per.L;dev;PNK;Before
A011;A011;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A012;A012;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A02;A02;2018;H41;Before Incubation;Before Incubation;0;day0;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;Before Incubation;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
A03;A03;2018;H41;Before Incubation;Before Incubation;0;day0;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;Before Incubation;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
A04;A04;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A05;A05;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A06;A06;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A07;A07;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A08;A08;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A09;A09;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A2;A2;2018;H52;Autotrophy;Autotrophy;7;1week;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.89E+10;1.89E+10;1.22E+09;autotrophy
A3;A3;2018;H52;Autotrophy;Autotrophy;7;1week;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.10E+10;1.10E+10;5.26E+08;autotrophy
A4;A4;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;5.04E+09;5.04E+09;1.43E+08;autotrophy
A5;A5;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;8.60E+09;8.60E+09;9.58E+08;autotrophy
A6;A6;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.59E+10;1.59E+10;2.47E+09;autotrophy
b;b;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;3.07E+08;3.07E+08;5.60E+07;autotrophy
B01;B01;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B02;B02;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B03;B03;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B04;B04;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B05;B05;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B06;B06;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B07;B07;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B08;B08;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B09;B09;2018;H41;Necromass;Necromass;8;2weeks;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
B1;B1;2018;H52;Autotrophy;Autotrophy;7;1week;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.85E+09;1.85E+09;9.27E+07;autotrophy
B2;B2;2018;H52;Autotrophy;Autotrophy;7;1week;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.55E+09;1.55E+09;5.53E+07;autotrophy
B3;B3;2018;H52;Autotrophy;Autotrophy;7;1week;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.11E+09;1.11E+09;6.60E+07;autotrophy
B4;B4;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.47E+09;1.47E+09;6.25E+07;autotrophy
B5;B5;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;1.41E+09;1.41E+09;4.42E+07;autotrophy
B6;B6;2018;H52;Autotrophy;Autotrophy;14;2weeks;7-2018 12 14 Beatrix Project Mo;7-Autotrophy;H52AutoSIPtest;BMH;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;6.22E+07;6.22E+07;3.08E+06;autotrophy
c;c;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;7.21E+07;7.21E+07;1.45E+07;autotrophy
CA;CA;2021;H41;Soil Seepage;Soil Seepage;1059;>3weeks;13-2021 01 14 Wills long term;13-Soil Seepage;SeepageLongterm;WAO;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;organic_undefined
CB;CB;2021;H41;Soil Seepage;Soil Seepage;1059;>3weeks;13-2021 01 14 Wills long term;13-Soil Seepage;SeepageLongterm;WAO;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;organic_undefined
d;d;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;4.03E+08;4.03E+08;1.14E+08;autotrophy
D2O;D2O;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;1.15E+08;1.15E+08;1.45E+07;autotrophy
e;e;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;1.66E+09;1.66E+09;4.61E+08;autotrophy
f;f;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;1.12E+09;1.12E+09;6.51E+07;autotrophy
g;g;2021;H41;Autotrophy;Autotrophy;69;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;1.55E+08;1.55E+08;1.32E+07;autotrophy
h;h;2021;H41;Autotrophy;Autotrophy;69;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;1.03E+09;1.03E+09;3.22E+07;autotrophy
H2O;H2O;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;1.91E+07;1.91E+07;3.06E+06;autotrophy
H41-1;H41-1;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-2;H41-2;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-3;H41-3;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-4;H41-4;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-5;H41-5;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-6;H41-6;2020;H41;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41-90-02;H41-90-02;2018;H41;Before Incubation;Before Incubation;0;day0;6-Leachate D2O SIP;6-Leachate;RamanSIP2;MT;none;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
H41-90-02rep2;H41-90-02rep2;2018;H41;Before Incubation;Before Incubation;0;day0;6-Leachate D2O SIP;6-Leachate;RamanSIP2;MT;none;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
H41-PNK-89;H41-PNK-89;2018;H41;Before Incubation;Before Incubation;0;day0;6-Leachate D2O SIP;6-Leachate;RamanSIP2;MT;none;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
H41EF-A;H41EF-A;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41EF-B;H41EF-B;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41EF-C;H41EF-C;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41EFpA;H41EFpA;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41EFpB;H41EFpB;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41EFpC;H41EFpC;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41GWA;H41GWA;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41GWB;H41GWB;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41GWC;H41GWC;2018;H41;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J1;H41J1;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J2;H41J2;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J3;H41J3;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J4;H41J4;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J5;H41J5;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H41J6;H41J6;2018;H41;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-1;H52-1;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-2;H52-2;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-3;H52-3;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-4;H52-4;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-5;H52-5;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52-6;H52-6;2020;H52;Autotrophy;Autotrophy;1006;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EF-A;H52EF-A;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EF-B;H52EF-B;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EF-C;H52EF-C;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EFpA;H52EFpA;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EFpB;H52EFpB;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52EFpC;H52EFpC;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;yes;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52GWA;H52GWA;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52GWB;H52GWB;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52GWC;H52GWC;2018;H52;Groundwater;Groundwater;18;3weeks;2-Sarah;2-Groundwater;AutotrophyEnrTest;SN;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J10;H52J10;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J11;H52J11;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J12;H52J12;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J7;H52J7;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J8;H52J8;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
H52J9;H52J9;2018;H52;Autotrophy;Autotrophy;76;>3weeks;3-2018 06 23 Autotrophy;3-Autotrophy;AutotrophyEnrTest;JW;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
i;i;2021;H41;Autotrophy;Autotrophy;69;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;2.84E+08;2.84E+08;2.68E+07;autotrophy
